image,species,individual_id,fold
00021adfb725ed.jpg,0,0,0.0
000562241d384d.jpg,1,1,0.0
0007c33415ce37.jpg,2,2,0.0
0007d9bca26a99.jpg,3,3,0.0
00087baf5cef7a.jpg,1,4,0.0
000a8f2d5c316a.jpg,3,5,0.0
000be9acf46619.jpg,4,6,0.0
000bef247c7a42.jpg,1,7,0.0
000c3d63069748.jpg,4,8,0.0
000c476c11bad5.jpg,3,9,0.0
001001f099519f.jpg,5,10,0.0
00103cbe9d25ce.jpg,6,11,0.0
00144776eb476d.jpg,3,5,0.0
00167e8375c967.jpg,4,12,0.0
00177f3c614d1e.jpg,3,13,0.0
0017b3749cd769.jpg,3,14,0.0
0018064338b499.jpg,7,15,0.0
001b0900f56e89.jpg,1,16,0.0
001cfade605960.jpg,7,17,0.0
001f1a1f22da96.jpg,5,18,0.0
0020004d64ae20.jpg,8,19,0.0
00206a224e68de.jpg,7,20,0.0
0022bdb8eb5684.jpg,1,21,0.0
00234b893ea9e8.jpg,2,22,0.0
0024057bbc89a4.jpg,5,23,0.0
00243d4b15bafc.jpg,4,24,0.0
002618d6f63ebc.jpg,9,25,0.0
0028f6fa123686.jpg,3,26,0.0
0029d877c29ab4.jpg,0,27,0.0
002ac5f9ad7c10.jpg,2,28,0.0
002e00960cec44.jpg,10,29,0.0
002fb5fee50b97.jpg,1,30,0.0
0030835e895969.jpg,11,31,0.0
0032f90c7732b0.jpg,0,32,0.0
00354cd9244e28.jpg,4,33,0.0
0036b5c11b39f3.jpg,12,34,0.0
0038d3be2513c0.jpg,7,35,0.0
0039599b58fc80.jpg,3,36,0.0
00398cfc6f6675.jpg,4,37,0.0
0039955230421d.jpg,4,38,0.0
003ab41b6147f4.jpg,4,39,0.0
003e374b59c0e1.jpg,13,40,0.0
003ffd805a5910.jpg,0,41,0.0
00405189464f9d.jpg,1,42,0.0
004132b34ded14.jpg,1,43,0.0
0042dfc65c7987.jpg,4,44,0.0
0044ec4ae5ecfd.jpg,14,45,0.0
0044fb81b4f1c7.jpg,1,46,0.0
0046ceef89b3fc.jpg,5,47,0.0
004797c1c43563.jpg,2,48,0.0
0049b56a584eb1.jpg,3,36,0.0
004a0038d162d9.jpg,4,49,0.0
004a7fef39cf16.jpg,1,50,0.0
004a923b0b401e.jpg,5,51,0.0
004efe00a3e100.jpg,7,52,0.0
005135ee15df6c.jpg,3,53,0.0
005248b53efb3c.jpg,1,54,0.0
0053d003390997.jpg,8,55,0.0
00549928dca501.jpg,1,56,0.0
005a9cc627a55d.jpg,15,57,0.0
005b72434149fa.jpg,13,58,0.0
005e317de9a658.jpg,7,59,0.0
005e53b1b6aada.jpg,5,47,0.0
005f85f23464f8.jpg,1,60,0.0
006033d6691cef.jpg,7,61,0.0
006077a8e080fa.jpg,1,62,0.0
00621ef445e09f.jpg,3,63,0.0
00647f8ff9f243.jpg,16,64,0.0
00665aba3c163b.jpg,1,65,0.0
0067205f90977d.jpg,0,66,0.0
006b2548d360a6.jpg,4,67,0.0
006cc681396f71.jpg,16,68,0.0
006f1f7c9ea3c2.jpg,3,13,0.0
006fc52f81ab7d.jpg,3,69,0.0
007003e07cb9fd.jpg,1,70,0.0
007097146016e6.jpg,17,71,0.0
0070b4e405cd8d.jpg,3,72,0.0
